text,scene
Alastor Moody? The Auror?,27
Auror?,27
Dark wizard catcher. Half the cells in Azkaban are filled thanks to him. Supposed to be Mad as hatter these days though. Sees Death Eaters in his dustbins.,27
"What's that he's drinking, d'you suppose?",27
don't think it's pumpkin Juice.,27
"Barty, as you were saying...",27
"After due consideration, the Ministry has concluded that, for their own safety, no student under the age of seventeen will be allowed to put forth their name for the Triwizard Tournament. This decision is final.",27
Brat?! That's rubbish!,27
SILENCe!,27
Thank you.,27
"The Goblet of Fire. Anybody wishing to submit themselves to the Tournament need only write their name upon a piece of parchment and drop it into the flames within the next twenty-four hours. Do not do so lightly. If chosen, there is no turning back. of this moment... the Triwizard Tournament has begun.",27
"see you all slogged down to Flourish Blotts like good little boys and girls and bought the textbook. Congratulations... it'll make a fine doorstop. I'm Alastor Moody, ex-Auror, Ministry malcontent and your new Defense Against the Dark Arts teacher. I'm here because Dumbledore asked me. End of story, goodbye, the end. Any questions?",29
"When it comes to the Dark Arts, believe in a practical approach. You may wonder what mean by that. I'll show you. But first, which of you can tell me...",29
...how many Unforgivable Curses there are?,29
"might've known. Go on, Granger.",29
"There are three, sir How did you know...",29
Your name? know a bit more than that. You're top of your class correct?,29
"Yes, sir...",29
Naturally inquisitive?,29
Yes...,29
Socially inept?,29
Well...,29
And... Muggle born.,29
I'm not about to walk into a room full of strangers without doing background. Constant vigilance!,29
The devil likes disguises. Never forget that.,29
"Again, Granger. How many Curses?",29
Three.,29
And they're so named...?,29
Because they're unforgivable. The use of any one of them...,29
"will earn you a one-way ticket to Azkaban, correct. Now, the Ministry says you're too young to see what these curses do. say different. You need to know what you're up against. You need to be prepared. You need to find another place to put your gum besides the underside of your desk, Mr. Finnegan.",29
Blimey. The old codger can see out of the back of his head...,29
and hear across classrooms. So. Which curse shall we see first? Weasley!,29
Y-yes? Give me a curse.,29
Well... my Dad once told me about one... The Imperius Curse.,29
expect your father would know that one. Gave the Ministry a fair bit of grief some years ago. Perhaps this will show you why: Imperio!,29
"Talented, isn't she? What should have her do next? Jump out a window? Drown herself?",29
Scores of witches and wizards claimed they only did You-Know¬Who's bidding while under the influence of the Imperius Curse. Here's the rub: how do you sort out the liars? Another!,29
"It's Longbottom, is it? Professor Sprout tells me you have an aptitude for Herbology.",29
There's... the Cruciatus Curse.,29
Yes. Particularly nasty.,29
Crucio!,29
Stop it! Can't you see it's bothering him! Stop it!,29
"Perhaps you could give us the last Unforgivable Curse, Miss Granger.",29
Avada Kedavrs!,29
The killing curse. There is no blocking it. Only one person is known to have survived it. And he's sitting in this room.,29
"Brilliant, isn't he? Completely demented, of course, and terrifying to be in the same room with, but he's really been there, y'know? He's looked evil in the eye.",30
think he's cruel. Did you see Neville? thought he was going to,30
Neville...?,30
"It's alright, sonny. You come with me. We'll have a cup of tea in my office.",30
People have gotten splinched in this Tournament! More than once!,32
Splinched?,32
Dunno. But it doesn't sound good.,32
Potter.,32
"Eternal glory. Be brilliant, wouldn't it, three years from now, when we're old enough, to be chosen?",32
Better you than me.,32
"Well, we've done it, lads.",32
Cooked it up just this morning.,32
It's not going to work...,32
"Yeah? And why's that, Granger?",32
Because a genius like Dumbledore couldn't possibly be fooled by a dodge as pathetically dim-witted as an Ageing Potion.,32
That's what makes it so brilliant. It's pathetically dim-witted.,32
"Go on, then.",32
"Ready, Fred.",32
"Ready, George.",32
Bottoms up!,32
"Did you hear! Not a single student from Beauxbatons submitted their name,",33
What!,33
They've gone home!?!,33
"Can't say I'm surprised, Those girls were just a tad high-strung, if you ask me.",33
"Oh, for crying out loud.",33
love it when they do this...,33
Do what?,33
You know... walk together.,33
"Thank you, ladies of Beauxbatons, for that enjoyable bit of theatre. Now... the moment has arrived.",33
The champion for Durmstrang is... Victor Krum.,33
No surprise there!,33
The champion for Beauxbatons is... Fleur Delacour.,33
"I'm telling you, they don't make them like that at Hogwarts.",33
"And lastly, the Hogwarts champion. Cedric Diggory!",33
Silly sit...,33
He's meant to be quite smart actually. And he's a Prefect.,33
Like that's a good thing...,33
Excellent! We now have our three champions. I'm sure can count upon all of you to give your full support to; each and every,33
Harry Potter.,33
"Co on, Harry.",33
Do zey want us back in ze Hall?,34
u... u...,34
"What is ze meaning of zis, Dumbly¬dorr!",34
"Harry, did you put your name into the Goblet of Fire?",34
"Ho, sir.",34
Did you ask an older student to put your name in?,34
"No, sir.",34
"Aix, but of course 'e is lying!",34
The hell he is. The Goblet of Fire is an exceptionally powerful magical object. Only an exceptionally powerful Confundus Charm could have hoodwinked it. Magic beyond the talents of any Fourth Year.,34
"You seem to have given this a fair bit of thought, Moody.",34
"It was once my job to think the way Dark wizards do, Karkaroff. Perhaps you remember...",34
Barty... leave this to you.,34
"The rules are absolute. The Goblet of Fire constitutes a binding magical contract. Mr. Potter has no choice. He is, as of tonight, a Triwizard Champion.",34
"This can't be ignored, Albus! First the Dark Mark! Now this!",36
"What do you suggest, Minerva?",36
Put an end to it! Don't let Potter compete.,36
You heard Barty. The rules are clear,36
"Oh, the devil with Barty and his rules. And since when do you accommodate the Ministry, Albus?",36
"must say, Headmaster, too find it difficult to believe this mere coincidence. However, if we're to truly discover the meaning of these events, we may have to simply for the time being let them unfold.",36
"Do nothing! Offer him as bait! Potter's a boy, not a piece of meat!",36
"agree. With Severus. However... I'd like you to keep an eye on Harry, Alastor.",36
can do that.,36
"But he mustn't know. expect he's feeling anxious enough as it is, thinking of what lies ahead. Then again... suppose we all are.",36
How'd you do it?,37
"Never mind. Doesn't matter. Might've let me know, though.",37
Let you know what?,37
You know bloody hell what.,37
"didn't ask for this to happen, Ron. Okay? You're being stupid.",37
That's me. Ron Weasley. Harry Potter's stupid friend.,37
didn't put my name in the Cup! don't want eternal glory! just want to be...,37
Look. don't know what happened tonight. And don't know why. It just... did. Okay?,37
Piss off.,37
Thank you.,38
"Well now, aren't we the charismatic quartet...",38
"Hel-la, everyone. I'm Rita Skeeter and write for the Daily Prophet but you all know that, don't you? It's you we don't know. What quirks lurk beneath the rosy cheeks? What mysteries do the muscles mask? Does courage lie beneath the curls? In short: What makes a champion tick. Me, myself and want to know. Not to mention my rabid readers. So. Who's feeling up to sharing? Hm? Shall we start with the youngest? Lovely.",38
Ah. This is nice and cozy.,39
It's a... broom cupboard.,39
You must feel right at home then. Don't mind if use a Quick-Quotes Quill?,39
"Tell me, Harry. Here you sit a mere boy of twelve...",39
Fourteen.,39
"about to compete against three students not only vastly more emotionally mature than yourself, but who have mastered spells you wouldn't attempt in your dizziest daydreams? Concerned?",39
dunno. haven't really sorted it all out...,39
"Ignore the quill, dear. Of course, you're no ordinary boy of twelve, are you?",39
Fourteen,39
"You're Harry Potter. Orphaned in childhood, conqueror of You-Know¬Who your story is legend. Do you think the trauma of your past is what made you so keen to enter such a dangerous Tournament?",39
But didn't enter,39
"Of course you didn't, dear. Everyone loves a rebel, Harry. Scratch that last.",39
"Speaking of your parents, were they alive today, how would they feel? Proud?",39
"Cr concerned that your behavior indicates, at best, a pathological need for attention or, at worst, a psychotic death wish?",39
Hey! My eyes aren't glistening with the ghosts of my past...,39
Dumbledore! How are you?,39
Very well... for a 'dusty old dingbat.,39
"was only quoting a high-ranking Ministry official who, regrettably, wished to remain anonymous.",39
"Don't they all. Come, Harry, Mr. Crouch is ready to give the instructions.",39
"Courage in the face of the unknown is essential for any wizard. If one cannot defeat the devil he imagines he surely cannot hope to defeat the devil itself. Therefore, you will be told nothing of what awaits you. You will, however, have two weapons upon which to rely: Your wand and your wits. On behalf of the Minister for Magic, wish each of you good luck.",40
"'On behalf of the Minister— remember when or Barty Crouch thought he would rule the world. Of course, that was before. Mad as a bloody Hatter these days...",40
"Harry. couldn't risk sending liedwig. Ever since the World Cup, the Ministry's been intercepting more and more owls and she's too easily recognized. We need to talk, Harry, face to face. Meet me in the Qryffindor Common Room at one o'clock this Saturday morning. Make sure you are alone... Sirius. By the way...",42
Ow!,42
The bird bites.,42
Ah!,43
Sirius. Wha How,43
"We're wizards, Harry, remember? We do this kind of thing.",43
So. Triwizard Champion. Congratulations.,43
Thanks.,43
"Didn't fox your way in, did you?",43
No!,43
Relax. It is the kind of thing your father would've done.,43
"I've been thinking about him. What he'd do in my place... don't know as much magic as the others, Sirius. I'm only fourth year. I'm",43
"...as courageous a young wizard as there's ever been according to Dumbledore and that's no small praise. Even so, any wizard must know his limitations.",43
Did my father?,43
No. Seen much of Karakaroff?,43
Not really... why?,43
"There's something you should know about him, Harry. He was a Death Eater.",43
Does anyone ever really stop being a Death Eater.,43
Whose answer do you want? The Ministry's or mine?,43
Do you think he,43
Dunno. But whoever did put your name in that Goblet didn't do it thinking you'll win. think they'll be quite contented if you simply die trying.,43
"I'm not ready for this, Sirius",43
"Then get ready. These things aren't happening by chance. You're the boy who lived. When you have a dream, it's not just a dream. When your scar hurts, it's not just a twinge. Your past is everyone's past. As is your future. Don't you see...",43
He's out there somewhere. Waiting. You have to get stronger because he's getting strorwer!,43
Someone's coming...,43
"Dumbledore can't always protect you anymore, Harry. Keep your friends close...",43
Go!,43
Who were you talking to?,43
Who says was talking to anyone?,43
heard voices...,43
Maybe you're imagining things. Wouldn't be the first time.,43
"Practicing for your neat interview, expect.",43
Amazing...,43
Amazing...,44
Neville! You're doing it again.,44
Oh. Right. Sorry...,44
Magical Water Plants of the Mediterranean?,44
"Moody gave it to me. You know, that day we had tea.",44
Ronald would like me to tell you that Seamus told him that Dean was told by Parvati that Hagrid's looking for you.,44
Is that right? Well What?,44
Parvati told Dean to tell Ronald... Don't ask me to repeat it. Hagrid's looking for you.,44
"Well, you can tell Ronald",44
I'm not an owl.,44
Amazing...,44
"Where exactly is it you're taking me, Hagrid? Wouldn' be nigh' if toll yeh tha', now would it, 'arry. High' find yeh sneakin' out here on yer own one nigh'.",45
Oh yeah. That could happen...,45
"Hagrid, are those what think",45
"But what are they doing here? Hagrid, those aren't mean, one of those isn't for... me?",45
That's the first task? Dragons!,45
"Thrillin', isn't it! Don't envy the champion who draws the Horntail, though. Back end's more dangerous than the front",45
"'Course, the front end's nothin' ter sneeze at.",45
That's Madame Maxime!,45
"Should seen 'er las' night. Long pink silks, hair fallin""roun'...",45
And there's Karkaroff!,45
"Yeah. Don' miss a trick, tha' one.",45
"Righ' big ball o' gas, ain't he? Thought Ron would faint jus' lookin' at 'im.",45
Ron! Ron was here?,45
Sure. His brother Charlie was part o' the team tha' brough' the dragons o'er from Romania. Din' Ron tell yeh?,45
No. He didn't.,45
Potter.,46
Could have a word?,46
All right.,46
Dragons. That's the first task. They've got one for each of us.,46
You're... serious. And Fleur and Krum? Do they,46
Why're you telling me?,46
"Wouldn't be right if didn't, would it? What would that make me?",46
"Right. By the way, about those badges, I've asked them not-to wear them, but, well...",46
Forget it.,46
"So says to her, would, but then what would do with the seventeen Mandrakes!",46
"You're a right foul git, you know that.",46
"You think so, do you?",46
know so.,46
Anything else?,46
Yeah. Stay away frome me.,46
Fine.,46
"Why so tense, Potter?",46
"My father and have a bet, Potter. You see, he thinks you won't last ten minutes in the Tournament, but disagree...",46
say you won't last five.,46
"You know what say, Malloy? say you can both... Eat dung.",46
What do you say to that?,46
Right.,46
Oh,46
I'll teach you to curse someone when their back's turned.,46
Stinking... cowardly... scummy...,46
Professor Moody! What are you doing!,46
Teaching,46
Teaching? Is that a student!,46
"Technically, it's a ferret.",46
"We never use Transfiguration as a punishment, Alastor! Surely Dumbledore told you?",46
Might've mentioned it...,46
My father will hear about this!,46
"Is that a threat? know things about your father that would curl even your greasy hair, boy! You. Come with me.",46
That's a Foe-Glass. Lets me keep an eye on my enemies. If can see the whites of their eyes they're standing behind me.,47
won't even bother telling you what's in there. You wouldn't believe me if did.,47
That was a very decent thing you did back there with Diggory. Hind telling me why you did it?,47
Sir?,47
He's your competition.,47
"Well, just thought -¬(stopping) Should we be talking about this, Professor? mean, isn't it sort of, well cheating?",47
Cheating's a tradition in the Triwizard Tournament. Always has been. Now tell me what you're going to do about your dragon?,47
"Well, suppose I'll... you know...",47
"see you've given it some real serious thought. Listen to me, Potter. Your pal Diggory? By your age he could transfigure a whistle into a watch and have it sing you the time. As for Miss Delacour don't be fooled by the little girl gowns. She's about as much fairy princess as am. As for Krum, his head may be filled with sawdust, but Karkaroff's isn't. They'll have a strategy. And you can damn well bet it'll play to Krum's strengths.",47
"Do need to write that last bit down for you? C'mon, Potter! What're your strengths! Besides being a helluva good guy?",47
dunno. can fly. I'm a fair flyer.,47
Better than fair the way hear it.,47
But I'm not allowed a broom...,47
"You're allowed a wand, aren't you?",47
"Your wand, your wits, your broom. That, in essence, is what Moody's saying you'll need. Correct?",48
Right... Dunno why he couldn't just come and tell me.,48
"Yes, you'll actually have to engage your brain. How inconsiderate of him.",48
Do you mind!,48
Krum? In the library?,48
He's always here. Which means they're always here. Dead annoying.,48
"Istill cry when think of Mum and Dad,' says Porter. 'Mostly at night, when I'm alone.",48
never said that...,48
"'Fortunately, the troubled young champion.—",48
has found comfort in the loving arms of classmate,48
never said that either,48
Ow!,48
"Oh, Harry. Are you all right? Accio!",48
That's it. Harry. That's it! Of course the incantation will have to be rather powerful and you'll have to leave a window open...,48
"Step up, mates! Who fancies a flutter on tonight's bloodbath?",50
Smart money's on Krum to survive!,50
One'll get you ten if Potter dies. Ow!,50
"We'd cut Harry in, of course...",50
How're you feeling? Okay?,51
"The key is to concentrate. After that, you just have to...",51
Battle a dragon.,51
"Right... Oh, Harry!",51
"Young love. How stirring. If things go unfortunately tonight, you two may even make the front page.",51
You.,51
"Oh don't even start, you silly girl. can tell you where it end.",51
You haff no business here. The tent is for champions. And... friends.,51
No matter. We got what we wanted.,51
"Good evening, Champions. You've waited. You've wondered. And now the moment is here. moment only you four can fully appreciate. Which begs the question; Why are you here in this moment, Miss Granger?",51
"Oh, Sorry. I'll. Just. Go.",51
Barty.,51
"Surely it's been excruciating for you all, speculating these many weeks as to just what it is that awaits you tonight. Within this bag lies the answer. Miss Delacour, if you",51
The Welsh Green. Mr. Krum...,51
The Chinese Fireball...,51
The Swedish Short-Snout. Which leaves...,51
The Horntail.,51
"These represent four very real dragons, each of which has been given a golden egg to protect. Your objective is simple: Collect the egg. This you must do, for each egg contains a clue, without which you cannot hope to survive the next task. Any questions?",51
"Very well. Good luck to you all. Mr. Diggory, at the sound of the cannon, you may pro",51
Accio Firebolt!,52
"Knew you wouldn't die, Harry. Lose an arm...",53
leg.,53
But pack it up altogether?,53
Never.,53
"C'mon, Harry. What d'you say?",53
"Harry, maybe you shouldn't...",53
Bring it here.,53
Shut it! Shut it,53
Bloody hell. What was that!,53
"Alright, everyone! Go back to your knitting. This is going to be uncomfortable enough without all you nosy sods listening in.",53
reckon you'd have to be barking mad to put your own name in the Goblet of Fire.,53
"Caught on, have you? Took you long enough.",53
"wasn't the only one who thought you'd done it, Harry. Everyone was saying it behind your back.",53
Brilliant. That makes me feel loads better.,53
At least warned you about the dragons!,53
Hagrid warned me about the dragons!,53
"No, did! Don't you remember? told Hermione to tell you that Seamus told me that Parvati had told Dean that Hagrid was looking for you. But Seamus never actually told me anything because it was really me all along. thought we'd be, y'know, alright again... once you figured that out.",53
How could possibly figure that out? It's completely mental.,53
"Tis, isn't it? Suppose was a bit distraught.",53
Boys.,53
"Hi, Harry.",54
don't believe it! She's done it again.,54
"'Miss Granger, a plain but ambitious girl, seems to be developing a taste for famous wizards. Her latest prey, sources report, is none other than Bulgarian bonbon Viktor Krum. No word yet on how Harry Potter is taking this latest emotional blow.'",54
You and Krum. That's rich.,54
just mean... know you. Krum's famous.,54
Who's more famous than Harry Potter? And he's your best friend.,54
"Yeah, well that's different, isn't it?",54
"Parcel for you, Mr. Weasley.",54
"Ah, thank you, Nigel.",54
"Not now, Nigel.",54
told him I'd get him Harry's autograph. Hey look. Hum's sent me something... Mum's sent me a dress.,54
Does match your eyes. Is there a bonnet?,54
"Nose out, Harry. Hey, Ginny. This must be for you.",54
I'm not wearing that. It's ghastly.,54
What're you on about?,54
They're not for Cluny. They're for you. Dress robes.,54
Dress robes! For what?,54
"The Yule Ball. Which, if you don't mind, I'd like to speak to you about, Potter.",54
"The Yule Ball, Professor?",54
It's traditional during the Triwizard Tournament for the host school to put on a Christmas ball. It is also traditional for the three Champions or in this case four to be the first to dance.,54
Dance? With a girl?,54
"leave that decision up to you, Potter. You may bring Neville Longbottom if you desire. But know this: the House of Godric Cryffindor has a reputation as long as it is illustrious. It demands and receives the respect of the entire wizard world. No house has produced more witches and wizards of consequence. You stand upon the shoulders of giants, Potter. Shame yourself and you shame all who came before you.",54
You have got to get a grip! Your in behavior barely rises to the level of the common toadstool!,55
"Now. To dance is to let the body... breathe. Inside every girl a secret swan slumbers, longing to burst free and take flight. Inside each boy a lordly lion, prepared to prance.",55
"Something may be about to burst out of Eloise Midgen, but don't think it's a swan.",55
Mr. Weasley.,55
Yes!,55
"Would you Join me, please. Ron glances about in a panic, then slumps forward man heading to the gallows.",55
"Now then, if you will, put your left hand on my waist...",55
Where?,55
waist.,55
"That's right, extend your arm... and, Mr. Filch, if you would...",55
And one and two...,55
"Never going to let him forget this, are you?",55
Never.,55
Everyone. Come together...,55
Why do they have to travel in packs? How're you supposed to get one on their own to ask them?,56
"Blarney, Harry. You slay dragons. If you can't get a date, who can?",56
think I'd take the dragon 'bout now...,56
"Me, get it from me Mum's side. How bou' you?",65
"Moi? I've big bones, that is all.",65
This is mad. At this rate we'll be the only ones in our year without dates. Well... us and Neville.,72
"Then again, he can take himself.",72
Nice. But it might interest you two to know Neville's got someone.,72
Now I'm really depressed.,72
Don't tell me you lot don't have dates yet? Better hurry up or all the good ones will be gone.,72
"Who're you going with, then?",72
Ummm... Oi! Angelina! Want to come to the ball with me?,72
"All right, then.",72
"Oi, Hermione! You're a girl. Come with one of us?",72
"Oh, come on. It's one thing for a bloke to show up alone. For a girl it's just sad.",72
"won't be going alone, because, believe it or not, someone asked me. And said yes.",72
She's lying. Right?,72
If you say so.,72
"Look. We've just got to grit our teeth and do it. Tonight, when we get back to the common room, we'll both have partners. Agreed?",72
"Beautiful, isn't it?",73
Yeah. Splendid.,73
"Well, watch yourself on the stairs. bit icy at the top.",73
Okay. Thanks. Cho!,73
Yes?,73
"just wondered if, maybe, you... ...wannagoballwime?",73
Sorry...I didn't catch that.,73
wondered if you'd like to...to... go to the Ball with me.,73
Oh. Harry. I'm sorry. But someone's already asked me and I've said I'll go. With him.,73
"Oh. Well, good. mean... Okay. No problem.",73
Harry?,73
really am. Sorry.,73
Made any progress?,74
Huh?,74
On the egg.,74
Oh. Yeah. Nearly there.,74
What happened to you?,74
He's just asked out Fleur Delacour.,74
What!,74
What'd she say?,74
"No, of course. She did say no",74
She said yes if?,74
don't know what got into me. There she was... walking by... you know how like it when they walk—. and couldn't help it... it just sort of... slipped out.,74
"Actually, he sort of screamed at her. It was a bit frightening.",74
So what'd you do then?,74
"What else? ran for it. I'm not cut out for this, Harry.",74
Well don't go asking Eloise Midgen. She's taken.,74
Don't worry. think I've got an idea...,74
Bloody hell...,75
What're those?,75
My dress robes.,75
"Well, those are all right! No lace! No dodgy little collar!",75
expect yours are more... traditional.,75
"Traditional! They're ancient! look like my Great Aunt Tessie! Smell like my Great Aunt Tessie. Murder me, Harry.",75
"Poor kid. Bet she's alone in her room, crying her eyes out.",76
Who?,76
"Hermione, of course. C'mon, Harry, why do you think she wouldn't tell us who she's coming with?",76
Because we'd take the mickey out of her?,76
No one asked her. Would've taken her myself if she wasn't so bloody proud.,76
"Hello, boys.",76
Don't you look... dashing.,76
There you are Potter. You and Hiss Patil will wait here and enter with the other champions. Weasley...,76
"you and Miss Patil may proceed inside, to the Great Hall.",76
C'mon then.,76
We have a cousin who dresses like that.,76
Omigod. She looks... beautiful.,76
Is that Hermione Granger? With Viktor Krum?,77
No. Absolutely not.,77
Take my waist.,77
Huh? Oh... right.,77
Go. Flow!,77
hrer—Ny-oh-nee!,77
Herm...own...ninny...?,77
Close enough.,77
"Ruddy pumpkinhead, isn't he?",77
"Well, don't think it was the books that had him going to the library.",77
Hay haff your arm?,77
Arm. Leg. I'm yours.,77
"Whew! Hot, isn't it? Viktor's gone to get drinks. Care to join us?",77
No we would not care to join you and... Viktor.,77
What's got your wand in a knot?,77
He's from Durmstrang! You're fraternizing with the enemy!,77
"The enemy? Who was it wanting his autograph? Besides, the whole point of the Tournament is international magical cooperation. To slake friends.",77
think he's got a bit more than friendship on his mind.,77
What are you suggesting?,77
"It's obvious, isn't it? It's Harry he's truly interested in.",77
Excuse me?,77
"He's using you. To get inside information. Maybe even Jinx Harry,",77
Are you going to ask me to dance or not?,77
No.,77
"told you before, Igor. see no reason to discuss it. Lumos!",78
"Ten points from Hufflepuff, Fawcett! And the same for Ravenclaw, Stebbins!",78
"It's a sign, Severus! You can't pretend this isn't happening!",78
"don't have to pretend, Igor. Can you say the same?",78
"That's what you think, is it!",78
That's what think!,79
"Well, you know the solution, don't you?",79
Go on!,79
Next time pluck up the courage and ask me yourself before someone else does!,79
"Well, that's... mean... that's completely off the point...",79
Where have you been?,79
"Never mind. Off to bed, both of you.",79
They get scary as they get older.,79
heard that!,79
"You must begin to make preparations, Wormtail. Nagini will need milking. The journey will not be easy...",82
"All right, Harry?",83
