text,time,inout,scene,location
outside of campus quad day,day,outside,130,University campus
outside of inside of dorm day,day,both,131,Dormitory
inside of dorm hallway day,day,inside,132,Dormitory
inside of dorm room day,day,inside,133,Dormitory
inside of dorm hallway,unknown,inside,134,Dormitory
inside of dorm room,unknown,inside,135,Dormitory
inside of subway train night,twilight,inside,136,Train
inside of dorm room night,twilight,inside,137,Dormitory
inside of night club night,twilight,inside,138,Nightclub
inside of night club bathroom night,twilight,inside,139,Night Club
inside of irene's bedroom morning,day,inside,140,Bedroom
inside of irene's bedroom morning,day,inside,141,Bedroom
outside of city street morning,day,outside,142,Street
inside of lobby morning,day,inside,143,Lobby
outside of street morning,day,outside,144,Street
inside of dorm hallway morning,day,inside,145,Dormitory
inside of dorm room morning,day,inside,146,Dormitory
inside of tattoo parlor day,day,inside,147,Tattoo Shop
inside of tattoo parlor later,unknown,inside,148,Tattoo Shop
inside of dorm lobby day,day,inside,149,Dormitory
outside of street day,day,outside,150,Road
inside of dorm room day,day,inside,151,Dormitory
inside of frat house room day,day,inside,152,University/College Campus
outside of campus quads day,day,outside,153,University Campus
outside of campus coffee shop night,twilight,outside,154,Coffee Shop
outside of frat house night,twilight,outside,155,College/University
inside of frat house entrance night,twilight,inside,156,Fraternity House
inside of art studio night,twilight,inside,157,Art Gallery
inside of frat house room,unknown,inside,158,Dormitory
inside of frat house hallway,unknown,inside,159,Fraternity House
inside of frat house room night,twilight,inside,160,University Campus
outside of dorm evening night,twilight,outside,161,Dormitory
inside of dorm room dusk,unknown,inside,162,Dormitory
inside of dorm hallway night,twilight,inside,163,Dormitory
inside of dorm room night,twilight,inside,164,Dormitory
inside of dorm hallway night,twilight,inside,165,Dormitory
inside of dorm room night,twilight,inside,166,Dormitory
inside of dorm shower night,twilight,inside,167,Dormitory
inside of dorm bathroom night,twilight,inside,168,Dormitory
inside of dorm room night,twilight,inside,169,Dormitory
inside of library night,twilight,inside,170,Library
inside of frat house night,twilight,inside,171,Fraternity House
inside of hotel hallway night,twilight,inside,172,Hotel
inside of hotel room night,twilight,inside,173,Hotel
inside of library night,twilight,inside,174,Library
inside of frathouse night,twilight,inside,175,College Dormitory
inside of frat bedroom night,twilight,inside,176,Dorm Room
outside of irene's apartment night,twilight,outside,177,Apartment
inside of irene's elevator,unknown,inside,178,Elevator
inside of hallway doorway,unknown,inside,179,Corridor / Entrance
inside of irene's apartment night,twilight,inside,180,Apartment
inside of bedroom,unknown,inside,181,Room
inside of living room night,twilight,inside,182,Living room
inside of bedroom,unknown,inside,183,Room
inside of living room,unknown,inside,184,Living room
inside of bedroom night,twilight,inside,185,Room
outside of building ledge night,twilight,outside,186,Building
inside of living room night,twilight,inside,187,Living room
inside of bedroom,unknown,inside,188,Room
outside of building ledge night,twilight,outside,189,Building
inside of bedroom night,twilight,inside,190,Room
outside of building ledge twilight,twilight,outside,191,Building
outside of building day,day,outside,192,Building
inside of dorm room,unknown,inside,193,Dormitory
inside of dorm hallway,unknown,inside,194,Dormitory
inside of dorm room,unknown,inside,195,Dormitory
