text,time,inout,scene,location
outside of paradise falls gas 'n' grub roof twilight,twilight,outside,67,Gas Station
inside of paradise gas `n' grub twilight,twilight,inside,68,Gas Station
outside of paradise falls gas 'n' grub twilight,twilight,outside,69,Gas Station
outside of desert twilight,twilight,outside,70,Desert
inside of paradise falls gas 'n' grub twilight,twilight,inside,71,Gas Station
inside of paradise falls gas 'n' grub back office twilight,twilight,inside,72,Gas Station
inside of paradise gas `n' grub twilight,twilight,inside,73,Gas Station
outside of paradise falls gas 'n' grub twilight,twilight,outside,74,Gas Station
inside of police cruiser twilight,twilight,inside,75,Police vehicle
inside of paradise falls gas `n' grub twilight,twilight,inside,76,Gas Station
inside of police cruiser driving twilight,twilight,inside,77,Police Vehicle
inside of paradise falls gas 'n' grub twilight,twilight,inside,78,Gas Station
inside of police cruiser driving twilight,twilight,inside,79,Police Car
inside of paradise gas `n' grub twilight,twilight,inside,80,Gas Station
inside of police cruiser driving twilight,twilight,inside,81,Police Vehicle
outside of highway twilight,twilight,outside,82,Road
inside of police cruiser driving twilight,twilight,inside,83,Police Vehicle
outside of paradise falls gas 'n' grub twilight,twilight,outside,84,Gas Station
outside of highway twilight,twilight,outside,85,Road
inside of police cruiser driving twilight,twilight,inside,86,Police Vehicle
outside of red rock national park rood twilight,twilight,outside,87,National Park
inside of police cruiser driving twilight,twilight,inside,88,Police Vehicle
outside of police cruiser driving twilight,twilight,outside,89,Police Car
inside of police cruiser driving twilight,twilight,inside,90,Police Vehicle
outside of red rock park twilight,twilight,outside,91,Park
inside of police cruiser twilight,twilight,inside,92,Police Car
outside of red rock ridge predawn,twilight,outside,93,Mountain Range
outside of red rock ridge dawn,day,outside,94,Mountain Range
inside of car driving morning weeks later,day,inside,95,Automobile
