scene,start,end,score,query,script
77,4759.0,4788.2,67.7304964539007,D General Lamarque is dead Lamarque. His death is the hour of Fate The People's man his death is the sign we owe a funeral day. They will honor his name with the light of rebellion Ablaze in their eyes. The camels have week. We will Kindle our Flame.,Lamarque is dead... Lamarque... His death is the hour of fate. The people's man... His death is the sign we await! On his funeral day they will honour his name With the light of rebellion ablaze in their eyes. From their candles of grief we will kindle our flame. On the tomb of Lamarque shall our barricades rise!
79,5021.9,5045.8,75.33783783783784,"In my life, she has burst like the music of Angels the light of the Sun and my life seems to stop as if something is over and something has scarcely begun eponine. You're the friend who has brought me here. Thanks to you. I'm at one with the gods and Heaven is near and ice.","In my life She has burst like the music of angels The light of the sun! And my life seems to stop As if something is over And something has scarcely begun! Eponine, you're the friend Who has brought me here. Thanks to you I am one with the Gods And heaven is near! And I soar through a world that is new, That is free!"
79,5071.5,5080.1,78.18181818181819,"In my life, there is someone who touches my life raising him.",In my life There is someone who touches my life -
79,5264.3,5266.8,98.0,One little scream and you'll regret it for a year.,One little scream and you'll regret it for a year!
81,5271.3,5277.5,76.92307692307692,You way my go. You'll Rue this night. I'll make you scream. Yo stream. All right.,"You wait, my girl! You'll rue this night! I'll make you scream! You'll scream all right!"
84,5405.5,5433.1,88.35616438356165,And I know it's only in my mind that I'm talking to myself and not to him and although I know that he is blind still I say there's a way for us.,"And I know it's only in my mind - That I'm talking to myself and not to him. And although I know that he is blind, Still I say there's a way for us."
84,5435.3,5461.6,86.45833333333334,"I love him, but when the night is over, he is gone the rivers just a river without him the world around me changes. The trees are bare and everywhere. The streets are full of strangers. I love him.",I love him But when the night is over He is gone - the river's just a river. Without him the world around me changes - The trees are bare and everywhere The streets are full of strangers.
94,5675.4,5683.1,84.61538461538461,My place is here. I fight with you one day.,My place is here! I fight with you!
96,5784.9,5795.2,69.16666666666667,Beyond the barricade. Is there a world you long to see then join in the fight that will give you the right to be free.,Will you join in our crusade? Who will be strong and stand with me? Beyond the barricade Is there a world you long to see?
104,6530.1,6534.0,85.24590163934427,Should I come here as a volunteer?,I come here as a volunteer.
104,6576.1,6579.3,89.58333333333334,Give me the Spy Javert. Let me take care of him.,Give me the spy Javert! Let me take care of him.
104,6583.3,6589.0,82.82828282828282,Do what you have to do the man belongs to you know.,Do what you have to do - The man belongs to you.
104,6618.3,6638.5,68.19923371647509,We meet again you've hungered for this all your life. Take your revenge how right you should kill with a knife get out of here. Don't understand clear out of here.,You've hungered for this all your life. Take your revenge. How right you should kill with a knife.
104,6643.8,6665.5,88.88888888888889,Once a thief forever a Thief what you want you always steal you would trade your life for mine. Yes Valjean. You want a deal? Shoot me now for all I care if you let me go beware. You still answer to Javert.,"Once a thief, forever a thief. What you want, you always steal. You would trade your life for mine. Yes, Valjean, you want a deal! Shoot me now for all I care - If you let me go, beware! You'll still answer to Javert!"
104,6771.6,6797.3,68.71165644171779,drink with me today days gone by to the love that you used to be at The Shrine of Friendship Never Say Die let the wine of friendship never run dry.,Drink with me To days gone by! To the life That used to be! At the shrine of friendship Never say die... Let the wine of friendship Never run dry! Here's to you And here's to me!
108,7068.3,7074.3,67.16417910447761,The our people have not stirred we are abandoned by those who still live in fear.,Yet we will not abandon those Who still live in fear.
108,7192.7,7201.2,67.27272727272727,The people of Paris sleep in their beds. You have no chance no chance at all.,"You at the barricades listen to this! The people of Paris sleep in their beds! You have no chance, No chance at all! Why throw your lives away?"
117,7556.9,7566.0,76.41196013289037,It's huge for bear and you wouldn't wait too long the faithful servant at his post once more. This man has done no wrong. He needs a doctor's care.,"It's you, Javert! I knew you wouldn't wait too long. The faithful servant at his post once more. This man's done no wrong. And he needs his family's care."
117,7567.5,7572.6,83.33333333333334,I warned you I would not give in I won't be swayed another hour yet.,I warned you I would not give in! I won't be swayed!
117,7608.5,7609.6,100.0,One more step and you die.,One more step and you die.
117,7632.3,7657.9,80.06932409012131,It was this man what sort of devil is he to have me caught in a trap and choose to let me go free. It was his already lost to put a seal on my fate Wipe Out the past and wash me clean off the Slate all it would take was a flick of his knife Vengeance was his and he gave me back my life.,Who is this man? What sort of devil is he? To have caught me in a trap And choose to let me go free? It was his hour at last To put a seal on my fate Wipe out the past And wash me clean off the slate! All it would take Was a flick of his knife Vengeance was his And he gave me back my life!
117,7709.4,7736.2,73.09417040358744,Who never doubted all these years my heart is Stone and still it trembles the world. I have known is lost in Shadow. Is he from heaven or from hell and us that granting me my life today?,And must I now begin to doubt Who never doubted all those years? My heart is stone and still it trembles... The world I have known is lost in shadow Is he from heaven or from hell? And does he know That granting me my life today This man has killed me even so?
121,8043.6,8061.1,67.1957671957672,Every day you walk with stronger step you walk with longer step. The worst is over. Don't think about it Marius with all the years ahead of us. I will never go away and we will be together every day.,"Don't think about it, Marius! With all the years ahead of us! I will never go away And we will be together Every day. Every day We'll remember that night And the vow that we made."
122,8226.6,8238.1,70.78651685393258,You're sure she cannot leave whatever. I tell my beloved Cosette. She will never believe.,"Monsieur, you cannot leave! Whatever I tell my beloved Cosette She will never believe me."
122,8240.3,8255.0,79.24528301886792,"Tell her I've gone on a journey a long way away. Tell her my heart was too full for farewells. It's better this way promise me, Monsieur Cosette will never know what I have spoken why I must go.","Make her believe I have gone on a journey A long way away. Tell her my heart was too full for farewells - It is better this way. Promise me, Monsieur, Cosette will never know..."
126,8390.2,8414.8,80.49382716049382,Thank you. Bye. Whoa. I saw clear is Li Jean Valjean in the sewers one night had this corpse on his back some boy. He had killed in a vicious attack. I was there never fear. I even found me this fine souvenir.,"What I saw, clear as light, Jean Valjean in the sewers that night, Had this corpse on his back Some boy he'd killed in a viscious attack. I was there, never fear! Even found me this fine souvenir!"
130,8671.0,8692.9,68.38966202783301,"It's thanks to you that I have a living and again, I lay down my life at your feet because your father is a saint when they wounded me. He took me from the barricade carried like a babe and brought me.","It's you who must forgive a thoughtless fool! It's you who must forgive a thankless man! It's thanks to you that I am living, And again I lay down my life at your feet. Cosette, your father is a saint! When they wounded me He took me from the barricade, Carried like a babe, And brought me home to you!"
130,8728.6,8747.0,70.0,"Now my life is blessed. You will live my pie you're going to live. It's too soon too soon to say goodbye. Yes, cuz I said","You will live, papa You're going to live It's too soon Too soon to say goodbye."
130,8853.8,8867.0,75.90361445783132,And remember the truth that once was spoken person is to see the face.,And remember The truth that once was spoken: To love another person Is to see the face of God...
